Run Fondo;run_fondo_largo;nombre_fm;nombre_corto;vigencia;estado_liquidacion;tipo_fondo;rut_agf;razon_social_agf;fecha_deposito_fm;fecha_modificacion;fecha_inicio_operaciones;num_fecha_resolucion;fecha_cumplimiento_artley;fecha_termino_operaciones;numero_registro
10036;10036-6;FONDO MUTUO ZURICH TENDENCIAS GLOBALES;ZCHTGLOBALES;Vigente;;5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION;77750920-9;ZURICH CHILE ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-03-25;2022-01-12;2021-04-15;-;2021-04-26;;FM211788
10045;10045-5;FONDO MUTUO BCI ESTRUCTURADO DEUDA GLOBAL II;FM BCI E. D. GLOB II;Vigente;;7-FM ESTRUCTURADO;96530900-4;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-04-13;;2021-04-15;-;2021-04-26;;FM211797
10048;10048-K;FONDO MUTUO BICE DIGITAL ESTRATEGIA BALANCEADA;DIGITAL EST BALAN;Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-05-31;2022-11-02;2021-06-24;-;2021-07-27;;FM211802
10049;10049-8;FONDO MUTUO BICE DIGITAL ESTRATEGIA AGRESIVA;DIGITAL EST AGRESIVA;Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-02;2023-07-03;2021-06-24;-;2021-07-26;;FM211804
10050;10050-1;FONDO MUTUO BICE DIGITAL ESTRATEGIA CONSERVADORA;DIGITAL EST CONSERV;Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-02;2023-07-03;2021-06-24;-;2021-08-31;;FM211805
10057;10057-9;FONDO MUTUO SANTANDER FUTURE WEALTH;FUTURE WEALTH;Vigente;;6-FM DE LIBRE INVERSION;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2021-04-23;2023-02-17;2021-05-25;-;2021-06-09;;FM211813
10058;10058-7;FONDO MUTUO BANCHILE AGRESIVO;FM BCH AGRESIVO;Vigente;;6-FM DE LIBRE INVERSION;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-06-03;2022-11-17;2021-07-14;-;2021-07-23;;FM211814
10059;10059-5;FONDO MUTUO BANCHILE CONSERVADOR;FM BCH CONSERVADOR;Vigente;;6-FM DE LIBRE INVERSION;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-06-03;2022-11-17;2021-07-14;-;2021-08-19;;FM211815
10060;10060-9;FONDO MUTUO BANCHILE MODERADO;FM BCH MODERADO;Vigente;;6-FM DE LIBRE INVERSION;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-06-03;2022-11-17;2021-07-14;-;2021-08-05;;FM211816
10061;10061-7;FONDO MUTUO BANCHILE RENTA LARGO PLAZO;FM BCH RENTA LP;Vigente;;3-FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-06-04;2022-11-02;2021-07-14;-;2021-08-16;;FM211817
10063;10063-3;FONDO MUTUO ITAU MI CARTERA AVENTURERA;CARTERA AVENTURERA;Vigente;;6-FM DE LIBRE INVERSION;96980650-9;ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-05-28;2023-08-23;2021-04-29;-;2021-05-11;;FM211819
10064;10064-1;FONDO MUTUO ITAU MI CARTERA LANZADA;CARTERA LANZADA;Vigente;;6-FM DE LIBRE INVERSION;96980650-9;ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-05-28;2023-07-24;2021-04-29;-;2021-05-19;;FM211820
10066;10066-8;FONDO MUTUO LARRAINVIAL DEUDA CHINA;FM LV DEUDA CHINA;Vigente;;6-FM DE LIBRE INVERSION;96955500-K;LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-07-26;2022-09-14;2021-06-24;-;2021-06-29;2023-12-01;FM211822
10067;10067-6;FONDO MUTUO BCI ACCIONES SOSTENIBLES ESG;FM BCI ACC SOST. ESG;Vigente;;5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION;96530900-4;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-05-03;;2021-05-07;-;2021-06-16;;FM211823
10068;10068-4;FONDO MUTUO ETF IT NOW S&P IPSA ESG;ETF IT NOW IPSA ESG;Vigente;;5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION;96980650-9;ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-05-04;;2021-07-07;-;2021-07-12;;FM211824
10071;10071-4;FONDO MUTUO BCI CARTERA DOLAR BALANCEADA;FM BCI C DOLAR BALAN;Vigente;;6-FM DE LIBRE INVERSION;96530900-4;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-05-17;2022-05-24;2021-05-14;-;2021-06-14;;FM211827
10072;10072-2;FONDO MUTUO BCI CARTERA DÓLAR CONSERVADORA;FM BCI C. DOLAR CONS;Vigente;;6-FM DE LIBRE INVERSION;96530900-4;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-05-17;2022-05-24;2021-05-11;-;2021-06-09;;FM211828
10087;10087-0;FONDO MUTUO CREDICORP CAPITAL SHORT DURATION LATAM;FM CC SHORT D LATAM;Vigente;;6-FM DE LIBRE INVERSION;99549940-1;CREDICORP CAPITAL ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-08-03;2023-02-02;2021-09-09;-;2021-11-17;;FM211843
10109;10109-5;FONDO MUTUO CLEVER Temático global;CLEVER Temático;Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-07-21;2023-07-27;2021-07-28;-;2021-10-26;;FM211865
10111;10111-7;FONDO MUTUO BANCHILE PORTAFOLIO ACTIVO DOLAR MODERADO;FM BCH PA USD MOD;Vigente;;6-FM DE LIBRE INVERSION;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-07-23;2022-11-17;2021-08-02;-;2021-08-04;;FM211867
10125;10125-7;FONDO MUTUO BICE RENTA GLOBAL AHORRO DÓLAR;RENTA AHORRO DÓLAR;Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-08-13;2022-10-05;2021-08-23;-;2021-09-28;;FM211881
10130;10130-3;FONDO MUTUO CLEVER DNA SCIENCE;CLEVER DNA SCIENCE;No Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-08-24;;2021-09-24;-;;2023-08-25;FM211886
10131;10131-1;FONDO MUTUO CLEVER VIDEO GAMES & ESPORTS;CLEVER VIDEO GAMES;No Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-08-24;;2021-09-24;-;;2023-08-25;FM211887
10132;10132-K;FONDO MUTUO CLEVER GLOBAL FINTECH;CLEVER GLOBAL FINTEC;No Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-08-24;;2021-09-24;-;;2023-08-25;FM211888
10135;10135-4;FONDO MUTUO CREDICORP CAPITAL BRAVE DISCO;FM CC BRAVE DISCO;Vigente;;6-FM DE LIBRE INVERSION;99549940-1;CREDICORP CAPITAL ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-07-19;2023-08-11;2021-11-10;-;2023-09-06;;FM211891
10136;10136-2;FONDO MUTUO CREDICORP CAPITAL HEAVY METAL;FM CC HEAVY METAL;Vigente;;6-FM DE LIBRE INVERSION;99549940-1;CREDICORP CAPITAL ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-07-18;2023-08-11;2021-11-10;-;2023-09-06;;FM211892
10137;10137-0;FONDO MUTUO CREDICORP CAPITAL LIGHT REGGAE;FM CC LIGHT REGGAE;Vigente;;6-FM DE LIBRE INVERSION;99549940-1;CREDICORP CAPITAL ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-07-19;2023-08-11;2021-11-10;-;2023-08-12;;FM211893
10138;10138-9;FONDO MUTUO CREDICORP CAPITAL POWER POP;FM CC POWER POP;Vigente;;6-FM DE LIBRE INVERSION;99549940-1;CREDICORP CAPITAL ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-06-14;2023-08-11;2021-11-10;-;2023-09-06;;FM211894
10139;10139-7;FONDO MUTUO BICE RENTA GLOBAL;RENTA GLOBAL;Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-09-01;2021-09-06;2021-09-20;-;2021-10-22;;FM211895
10141;10141-9;FONDO MUTUO CREDICORP CAPITAL RISKY ROCK;FM CC RISKY ROCK;Vigente;;6-FM DE LIBRE INVERSION;99549940-1;CREDICORP CAPITAL ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-07-18;2023-08-11;2021-11-10;-;2023-09-06;;FM211897
10147;10147-8;FONDO MUTUO SANTANDER PRUDENTE DÓLAR;PRUDENTE DÓLAR;Vigente;;6-FM DE LIBRE INVERSION;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2021-10-28;2022-04-13;2021-11-08;-;2021-11-12;;FM211903
10151;10151-6;FONDO MUTUO BANCHILE PORTAFOLIO ACTIVO DOLAR AGRESIVO;FM BCH PA USD AGRESI;Vigente;;6-FM DE LIBRE INVERSION;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-09-24;2022-11-17;2021-11-08;-;2021-11-16;;FM211907
10152;10152-4;FONDO MUTUO BANCHILE PORTAFOLIO ACTIVO DOLAR CONSERVADOR;FM BCH PA USD CONSER;Vigente;;6-FM DE LIBRE INVERSION;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-09-24;2022-11-17;2021-11-08;-;2022-01-17;;FM211908
10169;10169-9;FONDO MUTUO BTG PACTUAL ESTRUCTURADO PROTECCIÓN UF;PROTECCIÓN UF;Vigente;;7-FM ESTRUCTURADO;96966250-7;BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-07-03;2023-09-15;2021-11-10;-;2021-11-18;;FM211925
10171;10171-0;FONDO MUTUO BCI ESTRUCTURADO UF MÁS II;FM BCI EST UF MAS II;Vigente;;7-FM ESTRUCTURADO;96530900-4;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-11-02;;2021-11-09;-;2021-11-15;;FM211927
10176;10176-1;FONDO MUTUO BICE ESTRUCTURADO UF;ESTRUCTURADO UF;Vigente;;7-FM ESTRUCTURADO;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-11-08;;2021-11-19;-;2021-11-24;;FM211932
10184;10184-2;FONDO MUTUO BICE BALANCEADO GLOBAL DÓLAR;BALANCEADO DÓLAR;Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-11-19;2021-12-02;2021-12-03;-;2022-03-02;;FM211940
10198;10198-2;FONDO MUTUO MBI DEUDA CHILENA;MBI DEUDA CHILENA;Vigente;;3-FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO;99543100-9;MBI ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-04-06;2023-01-24;2022-03-23;-;2022-06-10;;FM211954
10200;10200-8;FONDO MUTUO BTG PACTUAL ESTRUCTURADO PROTECCIÓN UF II;PROTECCIÓN UF II;Vigente;;7-FM ESTRUCTURADO;96966250-7;BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2021-12-22;2023-10-16;2022-01-10;-;2022-01-14;;FM211956
10201;10201-6;FONDO MUTUO SURA ESTRUCTURADO UF CHILE;ESTRUCTURADO UF CL;Vigente;;7-FM ESTRUCTURADO;76036521-1;ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2021-12-23;;2022-01-06;-;2022-04-19;;FM211957
10202;10202-4;FONDO MUTUO SANTANDER AGRESIVO DÓLAR;AGRESIVO DÓLAR;Vigente;;6-FM DE LIBRE INVERSION;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-01-07;2022-04-13;2022-02-24;-;2022-04-01;;FM211958
10205;10205-9;FONDO MUTUO COOPEUCH COMPASS AHORRO MEDIANO PLAZO;AHORRO MEDIANO PLAZO;No Vigente;;6-FM DE LIBRE INVERSION;96804330-7;COMPASS GROUP CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-04-01;2022-12-01;2022-03-03;-;2022-07-11;2023-03-22;FM221961
10208;10208-3;FONDO MUTUO COOPEUCH COMPASS CONSERVADOR;CONSERVADOR;Vigente;;6-FM DE LIBRE INVERSION;96804330-7;COMPASS GROUP CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-12-01;2023-02-21;2022-03-03;-;2022-03-22;;FM221965
10222;10222-9;FONDO MUTUO BICE ESTRUCTURADO UF II;ESTRUCTURADO UF II;Vigente;;7-FM ESTRUCTURADO;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-02-17;;2022-02-28;-;2022-03-01;;FM221979
10224;10224-5;FONDO MUTUO BTG PACTUAL ESTRUCTURADO PROTECCIÓN USA;PROTECCIÓN USA;Vigente;;7-FM ESTRUCTURADO;96966250-7;BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-02-22;2022-02-23;2022-03-09;-;;;FM221981
10225;10225-3;FONDO MUTUO BTG PACTUAL LITIO+;LITIO+;Vigente;;5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION;96966250-7;BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-03-23;2023-06-12;2022-03-09;-;2022-04-05;;FM221982
10226;10226-1;FONDO MUTUO BANCHILE DEPÓSITO PLUS IX;FM BCH DEP PLUS IX;No Vigente;Liquidado;7-FM ESTRUCTURADO;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-02-24;;2022-03-02;-;2022-03-02;2023-03-14;FM221983
10227;10227-K;FONDO MUTUO BANCHILE GLOBAL MEGATENDENCIAS;FM BCH GLOBAL MEGA;Vigente;;5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-02-25;2023-05-16;2023-06-15;-;2023-09-14;;FM221984
10229;10229-6;FONDO MUTUO BCI ESTRUCTURADO UF +;FM BCI EST UF+;No Vigente;Liquidado;7-FM ESTRUCTURADO;96530900-4;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-03-02;2023-07-26;2022-03-03;-;2022-03-04;2023-10-11;FM221986
10235;10235-0;FONDO MUTUO COMPASS PROTECCIÓN;COMPASS PROTECCIÓN;Vigente;;6-FM DE LIBRE INVERSION;96804330-7;COMPASS GROUP CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-06-14;2022-09-02;2022-03-22;-;2022-03-22;;FM221992
10240;10240-7;FONDO MUTUO BTG PACTUAL ESTRUCTURADO PROTECCIÓN UF III;PROTECCIÓN UF III;Vigente;;7-FM ESTRUCTURADO;96966250-7;BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-03-21;2023-10-16;2022-05-23;-;2022-06-07;;FM221997
10241;10241-5;FONDO MUTUO SANTANDER SMART INVESTMENTS RENTA LP;SI RENTA LP;Vigente;;6-FM DE LIBRE INVERSION;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-03-23;;2022-10-07;-;;;FM221998
10243;10243-1;FONDO MUTUO ITAU AHORRO UF;AHORRO UF;Vigente;;6-FM DE LIBRE INVERSION;96980650-9;ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-03-24;2023-04-18;2022-04-01;-;2022-04-01;;FM222001
10245;10245-8;FONDO MUTUO SANTANDER SMART INVESTMENTS RENTA MP;SI RENTA MP;Vigente;;6-FM DE LIBRE INVERSION;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-03-24;;2022-10-04;-;;;FM222004
10246;10246-6;FONDO MUTUO SURA ESTRUCTURADO UF II CHILE;ESTRUCTURADO UF II;Vigente;;7-FM ESTRUCTURADO;76036521-1;ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2022-03-25;;2022-04-11;-;2022-04-19;;FM222005
10250;10250-4;FONDO MUTUO BCI ESTRUCTURADO INVERSION UF;FM BCI EST. INV. UF;Vigente;;7-FM ESTRUCTURADO;96530900-4;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-04-08;2023-09-15;2022-04-11;-;2022-04-13;;FM222009
10253;10253-9;FONDO MUTUO CLEVER AHORRO;CLEVER AHORRO;Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-04-21;2022-08-08;2022-04-28;-;2022-07-11;;FM222012
10254;10254-7;FONDO MUTUO SANTANDER ESTRUCTURADO AHORRO+;ESTRUCTURADO AHORRO+;Vigente;;7-FM ESTRUCTURADO;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-04-22;2022-04-28;2022-05-03;-;2022-05-05;;FM222013
10258;10258-K;FONDO MUTUO ELEVÉ RENDIMIENTO;ELEVÉ RENDIMIENTO;Vigente;;5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION;96955500-K;LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-12-16;2023-07-28;2022-08-29;-;;;FM222017
10259;10259-8;FONDO MUTUO ELEVÉ EQUILIBRIO;ELEVÉ EQUILIBRIO;Vigente;;5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION;96955500-K;LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-12-16;2023-07-28;2022-08-29;-;;;FM222018
10260;10260-1;FONDO MUTUO ELEVÉ AHORRO;ELEVÉ AHORRO;Vigente;;6-FM DE LIBRE INVERSION;96955500-K;LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-12-16;2023-07-28;2022-08-22;-;2022-11-10;;FM222019
10261;10261-K;FONDO MUTUO SURA RENTA CORTO PLAZO UF CHILE;RENTA CORTO PLAZO UF;Vigente;;2-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS;76036521-1;ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2022-04-29;;2022-05-17;-;2022-06-09;;FM222020
10264;10264-4;FONDO MUTUO SURA ESTRUCTURADO PESOS CHILE;ESTRUCTURADO PESOS;No Vigente;Liquidado;7-FM ESTRUCTURADO;76036521-1;ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2022-05-09;;2022-05-17;-;2022-06-22;2023-06-19;FM222023
10267;10267-9;FONDO MUTUO BCI ESTRUCTURADO INVERSION NOMINAL;FM BCI EST. INV. NOM;Vigente;;7-FM ESTRUCTURADO;96530900-4;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-05-11;2023-09-15;2022-05-12;-;2022-05-17;;FM222026
10269;10269-5;FONDO MUTUO BANCHILE DEPÓSITO PLUS X;FM BCH DEP PLUS X;Vigente;;7-FM ESTRUCTURADO;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-05-13;;2022-05-17;-;2022-05-17;;FM222028
10275;10275-K;FONDO MUTUO COMPASS EQUILIBRIO;EQUILIBRIO;Vigente;;6-FM DE LIBRE INVERSION;96804330-7;COMPASS GROUP CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-05-18;2022-07-14;2022-06-30;-;2022-06-30;;FM222034
10276;10276-8;FONDO MUTUO BICE ESTRUCTURADO DÓLAR;ESTRUCTURADO DÓLAR;Vigente;;7-FM ESTRUCTURADO;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-05-19;;2022-06-08;-;2022-06-09;;FM222035
10279;10279-2;FONDO MUTUO SANTANDER ESTRUCTURADO AHORRO+ II;ESTRUCTU. AHORRO+ II;Vigente;;7-FM ESTRUCTURADO;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-05-24;;2022-06-06;-;2022-06-07;;FM222038
10282;10282-2;FONDO MUTUO SURA MONEY MARKET DÓLAR;SURA MONEY MARKET;Vigente;;1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS;76036521-1;ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2022-06-29;2022-10-12;2022-06-30;-;2022-12-29;;FM222041
10284;10284-9;FONDO MUTUO BANCOESTADO ESTRUCTURADO RENTA NOMINAL;RENTA NOMINAL;Vigente;;7-FM ESTRUCTURADO;96836390-5;BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-06-08;2023-03-03;2022-06-09;-;2022-06-10;;FM222043
10287;10287-3;FONDO MUTUO SANTANDER ESTRUCTURADO UPSIDE USA;EST UPSIDE USA;Vigente;;7-FM ESTRUCTURADO;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-06-14;2022-07-28;2022-08-11;-;2022-08-17;;FM222046
